S. No.,Month,Crash Date,Crash Day,Article Date,Location,Million Plus City,State,LatLong,Vehicle 1,Vehicle/Object 2,Killed,Injured,Age,Gender,Road Type,Crash Type,Latitude,Longitude,Age_Count,Average_Age,Minimum_Age,Maximum_Age,Object_2_Type,Crash_Year,Crash_Month_Number,Crash_Day_Number
1463,December,2022-12-15,Thursday,2022-12-16,Sector 94,Nil,Punjab,"30.693431210442192, 76.6699544221498",TWO WHEELER,CAR,1,1,22,MALE,SH,Others,30.693431210442192,76.6699544221498,1.0,22.0,22.0,22.0,VEHICLE,2022,12,3
1464,December,2022-12-15,Thursday,2022-12-16,Derabassi Flyover,Nil,Punjab,"30.58647826398502, 76.84585175212226",TRACTOR,UNIDENTIFIED,1,0,,MALE,NH,Hit and Run,30.58647826398502,76.84585175212226,,,,,UNKNOWN,2022,12,3
1466,December,2022-12-16,Friday,2022-12-17,Mundakayam,Nil,Kerala,"9.538467799808627, 76.89153916640065",BUS,NIL,1,17,10,FEMALE,NH,Run Off Road,9.538467799808627,76.89153916640065,1.0,10.0,10.0,10.0,UNKNOWN,2022,12,4
1472,December,2022-12-18,Sunday,2022-12-19,Bhilai New Police Station,Nil,Chhattisgarh,"21.207472348882888, 81.43138407972081",TWO WHEELER,TRUCK,1,1,49,MALE,NH,Hit From Back,21.207472348882888,81.43138407972081,1.0,49.0,49.0,49.0,VEHICLE,2022,12,6
1474,December,2022-12-19,Monday,2022-12-19,Auraiya,Nil,Uttar Pradesh,"26.451259360568113, 79.52251940393027",BUS,TRUCK,3,9,,MALE,NH,Hit From Back,26.451259360568116,79.52251940393027,,,,,VEHICLE,2022,12,0
1475,December,2022-12-19,Monday,2022-12-19,Aligarh,Nil,Uttar Pradesh,"27.92569783999121, 78.0766951461395",BUS,BUS,2,24,,,NH,Head On Collision,27.92569783999121,78.0766951461395,,,,,VEHICLE,2022,12,0
1476,December,2022-12-19,Monday,2022-12-19,Khopoli,Nil,Maharashtra,"18.791103033740573, 73.33942507747092",BUS,TRUCK,1,10,,MALE,NH,Hit From Back,18.791103033740573,73.33942507747092,,,,,VEHICLE,2022,12,0
1479,December,2022-12-18,Sunday,2022-12-19,Thuraipakkam Dumpyard,Chennai,Tamil Nadu,"12.948397109160258, 80.24062782281874",CAR,DIVIDER,1,0,23,FEMALE,SH,Fixed Object Collision,12.948397109160258,80.24062782281874,1.0,23.0,23.0,23.0,OBJECT,2022,12,6
1486,December,2022-12-21,Wednesday,2022-12-21,Longsai,Nil,Manipur,"24.642423540843076, 93.65379956227731",BUS,GORGE,10,35,,FEMALE,SH,Vehicle Overturn,24.64242354084308,93.65379956227731,,,,,OBJECT,2022,12,2
1488,December,2022-12-20,Tuesday,2022-12-21,Yamuna Expressway,Nil,Uttar Pradesh,"28.44251283882086, 77.50229321657845",BUS,TRUCK,1,28,,,NH,Hit From Back,28.44251283882086,77.50229321657845,,,,,VEHICLE,2022,12,1
1492,December,2022-12-19,Monday,2022-12-21,Sonkatch,Nil,Madhya Pradesh,"22.97841301080496, 76.35531780503722",TWO WHEELER,UNIDENTIFIED,1,0,32,MALE,NH,Hit and Run,22.97841301080496,76.35531780503722,1.0,32.0,32.0,32.0,UNKNOWN,2022,12,0
1493,December,2022-12-19,Monday,2022-12-21,Patharkandi,Nil,Assam,"24.609679505103248, 92.320861479876",AUTO RICKSHAW,CAR,2,0,"32,28",MALE,NH,Head On Collision,24.609679505103248,92.320861479876,2.0,30.0,28.0,32.0,VEHICLE,2022,12,0
1497,December,2022-12-21,Wednesday,2022-12-23,Dhamnod,Nil,Madhya Pradesh,"22.217417384267296, 75.47774220959037",BUS,TRACTOR,1,2,,MALE,SH,Head On Collision,22.217417384267296,75.47774220959037,,,,,VEHICLE,2022,12,2
1499,December,2022-12-22,Thursday,2022-12-23,Tuticorin,Nil,Tamil Nadu,"8.789434733640828, 78.14106109477959",CAR,TRUCK,4,0,"39,63,37,62",FEMALE,SH,Hit From Back,8.789434733640828,78.14106109477959,4.0,50.25,37.0,63.0,VEHICLE,2022,12,3
1502,December,2022-12-24,Saturday,2022-12-24,Bhilai,Nil,Madhya Pradesh,"21.807311125720886, 78.22651285913841",CAR,TRUCK,4,0,,,NH,Hit From Side,21.807311125720886,78.22651285913841,,,,,VEHICLE,2022,12,5
1503,December,2022-12-22,Thursday,2022-12-24,Maliyasan,Nil,Gujarat,"22.33131034445658, 70.87918638902339",CAR,TRUCK,4,0,"67,68,42,99",MALE,NH,With Parked Vehicle,22.33131034445658,70.87918638902339,4.0,69.0,42.0,99.0,VEHICLE,2022,12,3
1504,December,2022-12-23,Friday,2022-12-24,Behala,Kolkata,West Bengal,"22.50221196190783, 88.31808494940438",TWO WHEELER,TRUCK,1,1,23,FEMALE,NH,Hit From Back,22.50221196190783,88.31808494940438,1.0,23.0,23.0,23.0,VEHICLE,2022,12,4
1514,December,2022-12-27,Tuesday,2022-12-27,Kannauj,Nil,Uttar Pradesh,"27.024072347898148, 79.89404264649157",CAR,TRUCK,3,0,,MALE,NH,Hit From Back,27.024072347898148,79.89404264649157,,,,,VEHICLE,2022,12,1
1515,December,2022-12-25,Sunday,2022-12-27,Valadi,Nil,Tamil Nadu,"10.87362115565509, 78.75868738722666",CAR,GORGE,1,0,19,MALE,NH,Vehicle Overturn,10.87362115565509,78.75868738722666,1.0,19.0,19.0,19.0,OBJECT,2022,12,6
1516,December,2022-12-26,Monday,2022-12-27,Madathukulam,Nil,Tamil Nadu,"10.561516576833647, 77.35747303456479",VAN,TRUCK,4,0,"55,10,57,35",BOTH,NH,Head On Collision,10.561516576833649,77.35747303456479,4.0,39.25,10.0,57.0,VEHICLE,2022,12,0
1517,December,2022-12-26,Monday,2022-12-27,Gokulam Park Hotel,Coimbatore,Tamil Nadu,"11.057700367290801, 77.07029557218127",CAR,DIVIDER,1,1,18,MALE,SH,Fixed Object Collision,11.0577003672908,77.07029557218127,1.0,18.0,18.0,18.0,OBJECT,2022,12,0
1523,December,2022-12-27,Tuesday,2022-12-28,Gairsain,Nil,Uttarakhand,"30.034773524812877, 79.28524189340068",CAR,GORGE,1,0,40,MALE,NH,Vehicle Overturn,30.03477352481288,79.28524189340068,1.0,40.0,40.0,40.0,OBJECT,2022,12,1
1524,December,2022-12-26,Monday,2022-12-28,Bellandur,Bengaluru,Karnataka,"12.954575726062693, 77.70036127835277",TWO WHEELER,DIVIDER,1,0,33,MALE,NH,Fixed Object Collision,12.954575726062693,77.70036127835277,1.0,33.0,33.0,33.0,OBJECT,2022,12,0
1525,December,2022-12-26,Monday,2022-12-28,Yeshwantpur,Bengaluru,Karnataka,"13.026082964679443, 77.54484791257572",TWO WHEELER,DIVIDER,1,0,27,MALE,SH,Fixed Object Collision,13.026082964679444,77.54484791257572,1.0,27.0,27.0,27.0,OBJECT,2022,12,0
1527,December,2022-12-26,Monday,2022-12-29,Devipuri,Raipur,Chhattisgarh,"21.20229216217831, 81.68238863159121",TWO WHEELER,TRUCK,1,0,,MALE,NH,Head On Collision,21.20229216217831,81.68238863159121,,,,,VEHICLE,2022,12,0
1528,December,2022-12-27,Tuesday,2022-12-29,Zare,Nil,Maharashtra,"17.46275448011798, 74.7547753495017",PEDESTRIAN,TRUCK,1,0,35,FEMALE,SH,Hit and Run,17.46275448011798,74.7547753495017,1.0,35.0,35.0,35.0,VEHICLE,2022,12,1
1529,December,2022-12-29,Thursday,2022-12-30,Samayanallur,Nil,Tamil Nadu,"9.981874688952528, 78.03435076784801",CAR,WALL,2,3,"54,3",BOTH,NH,Fixed Object Collision,9.981874688952528,78.03435076784801,2.0,28.5,3.0,54.0,OBJECT,2022,12,3
1530,December,2022-12-28,Wednesday,2022-12-30,Baliyachauki,Nil,Jharkhand,"24.428828820488228, 86.73904514950266",CAR,TRUCK,2,3,,MALE,NH,With Parked Vehicle,24.428828820488228,86.73904514950266,,,,,VEHICLE,2022,12,2
1531,December,2022-12-30,Friday,2022-12-30,Timarlaga,Nil,Chhattisgarh,"21.699095646278963, 83.22761694238602",CAR,DITCH,4,1,,BOTH,NH,Vehicle Overturn,21.699095646278963,83.22761694238602,,,,,OBJECT,2022,12,4
1533,December,2022-12-30,Friday,2022-12-31,Madhavi,Nil,Maharashtra,"19.270138499744764, 73.03861035689864",PEDESTRIAN,TRUCK,1,0,32,TRANS,NH,Hit and Run,19.270138499744764,73.03861035689864,1.0,32.0,32.0,32.0,VEHICLE,2022,12,4
1539,January,2022-12-30,Friday,2023-01-01,Moulali Crossing,Kolkata,West Bengal,"22.56167542543988, 88.36729126676313",BUS,NIL,1,1,35,MALE,SH,Run Off Road,22.56167542543988,88.36729126676313,1.0,35.0,35.0,35.0,UNKNOWN,2022,12,4
1546,January,2023-01-01,Sunday,2023-01-01,Baleguli,Nil,Karnataka,"14.692797900184942, 74.30812238664505",CAR,BUS,4,1,,MALE,NH,Head On Collision,14.692797900184942,74.30812238664505,,,,,VEHICLE,2023,1,6
1561,January,2022-12-31,Saturday,2023-01-02,Nidaghatta,Nil,Karnataka,"12.621214109836012, 77.09518662658247",TWO WHEELER,TRUCK,1,1,22,MALE,NH,Head On Collision,12.621214109836012,77.09518662658247,1.0,22.0,22.0,22.0,VEHICLE,2022,12,5
1563,January,2023-01-01,Sunday,2023-01-02,Bisrasar,Nil,Rajasthan,"28.867869821608576, 74.26076082373534",CAR,TRUCK,5,0,,MALE,SH,Head On Collision,28.867869821608576,74.26076082373534,,,,,VEHICLE,2023,1,6
1565,January,2023-01-01,Sunday,2023-01-02,Gopalan Legacy Mall,Bengaluru,Karnataka,"12.958034639059406, 77.55391642187307",TWO WHEELER,TRUCK,1,1,21,MALE,NH,Head On Collision,12.958034639059406,77.55391642187307,1.0,21.0,21.0,21.0,VEHICLE,2023,1,6
1568,January,2023-01-01,Sunday,2023-01-02,Jashpur,Nil,Chhattisgarh,"22.55833131566401, 83.48838360116625",CAR,NIL,4,6,,,NH,Run Off Road,22.55833131566401,83.48838360116625,,,,,UNKNOWN,2023,1,6
1572,January,2023-01-01,Sunday,2023-01-02,Valasaravakam,Chennai,Tamil Nadu,"13.041348652085198, 80.17461933957748",TWO WHEELER,POLE,1,0,,MALE,SH,Fixed Object Collision,13.041348652085198,80.17461933957748,,,,,OBJECT,2023,1,6
1576,January,2023-01-01,Sunday,2023-01-02,Rahnal,Mumbai,Maharashtra,"19.268607458209164, 73.03687758523353",PEDESTRIAN,TRUCK,1,0,32,TRANS,NH,Hit From Back,19.268607458209164,73.03687758523353,1.0,32.0,32.0,32.0,VEHICLE,2023,1,6
1582,January,2023-01-03,Tuesday,2023-01-03,Bobbili,Nil,Andhra Pradesh,"18.574005567267335, 83.35785802726657",TWO WHEELER,CAR,1,2,22,MALE,SH,Head On Collision,18.57400556726733,83.35785802726657,1.0,22.0,22.0,22.0,VEHICLE,2023,1,1
1583,January,2022-12-31,Saturday,2023-01-03,Kumbalgodu,Bengaluru,Karnataka,"12.88040438743621, 77.44675163586399",CAR,DIVIDER,1,4,26,MALE,NH,Fixed Object Collision,12.88040438743621,77.44675163586399,1.0,26.0,26.0,26.0,OBJECT,2022,12,5
1588,January,2022-12-31,Saturday,2023-01-03,Dari Pool,Pune,Maharashtra,"18.43299491780472, 73.83789595923643",TWO WHEELER,TRUCK,1,1,23,MALE,NH,Head On Collision,18.43299491780472,73.83789595923643,1.0,23.0,23.0,23.0,VEHICLE,2022,12,5
1590,January,2023-01-01,Sunday,2023-01-03,Durgapur,Nil,Jharkhand,"24.49193444233388, 87.53769544911695",PEDESTRIAN,TRUCK,1,0,50,MALE,SH,Hit and Run,24.49193444233388,87.53769544911695,1.0,50.0,50.0,50.0,VEHICLE,2023,1,6
1597,January,2022-12-31,Saturday,2023-01-04,Vilholi,Nil,Maharashtra,"19.924698361094134, 73.71674896905081",PEDESTRIAN,TWO WHEELER,1,2,,,NH,Hit and Run,19.924698361094134,73.71674896905081,,,,,VEHICLE,2022,12,5
1600,January,2023-01-03,Tuesday,2023-01-04,TVS Junction,Kochi,Kerala,"10.052348390065548, 76.31981943953983",BUS,NIL,1,1,37,MALE,NH,Run Off Road,10.052348390065548,76.31981943953983,1.0,37.0,37.0,37.0,UNKNOWN,2023,1,1
1602,January,2023-01-02,Monday,2023-01-04,Wadmukhwadi,Pune,Maharashtra,"18.650326486154462, 73.88212194946203",TWO WHEELER,DIVIDER,1,1,30,MALE,NH,Fixed Object Collision,18.650326486154466,73.88212194946203,1.0,30.0,30.0,30.0,OBJECT,2023,1,0
1613,January,2023-01-04,Wednesday,2023-01-05,NRS Hospital,Kolkata,West Bengal,"22.565465783934, 88.36877744585061",PEDESTRIAN,BUS,1,0,50,FEMALE,SH,Hit and Run,22.565465783934,88.36877744585061,1.0,50.0,50.0,50.0,VEHICLE,2023,1,2
1620,January,2023-01-04,Wednesday,2023-01-05,Samdari,Nil,Rajasthan,"25.820345958262745, 72.57398667107492",TWO WHEELER,TRUCK,1,0,5,MALE,SH,Head On Collision,25.820345958262745,72.57398667107492,1.0,5.0,5.0,5.0,VEHICLE,2023,1,2
1621,January,2023-01-05,Thursday,2023-01-06,Nashik Road PS,Nashik,Maharashtra,"19.952831476208353, 73.83925949974353",TWO WHEELER,TWO WHEELER,1,0,79,MALE,NH,Hit From Back,19.952831476208356,73.83925949974353,1.0,79.0,79.0,79.0,VEHICLE,2023,1,3
1626,January,2023-01-06,Friday,2023-01-08,Shivnath River Bridge,Nil,Chhattisgarh,"21.76395797273016, 81.80925847758728",TWO WHEELER,CAR,2,0,,BOTH,NH,Head On Collision,21.76395797273016,81.80925847758728,,,,,VEHICLE,2023,1,4
1629,January,2023-01-07,Saturday,2023-01-08,Kalyanpur,Kanpur,Uttar Pradesh,"26.511849254741424, 80.24593405760726",CAR,TRUCK,1,0,45,MALE,NH,Head On Collision,26.511849254741424,80.24593405760726,1.0,45.0,45.0,45.0,VEHICLE,2023,1,5
1634,January,2023-01-08,Sunday,2023-01-09,Unnao,Nil,Uttar Pradesh,"26.546319279809325, 80.48673997245287",CAR,CAR,7,6,,BOTH,NH,Head On Collision,26.546319279809325,80.48673997245287,,,,,VEHICLE,2023,1,6
1639,January,2023-01-11,Wednesday,2023-01-12,Nashik Road PS,Nashik,Maharashtra,"19.95393071834278, 73.83776819146888",CAR,CAR,5,5,,,NH,Head On Collision,19.95393071834278,73.83776819146888,,,,,VEHICLE,2023,1,2
1642,January,2023-01-12,Thursday,2023-01-13,Nashik,Nashik,Maharashtra,"20.00978683520233, 73.80755328018628",BUS,TRUCK,10,23,,,NH,Head On Collision,20.00978683520233,73.80755328018628,,,,,VEHICLE,2023,1,3
1651,January,2023-01-15,Sunday,2023-01-16,Samrala,Nil,Punjab,"30.835311865485288, 76.19253077080046",CAR,NIL,1,0,,MALE,NH,Run Off Road,30.835311865485288,76.19253077080046,,,,,UNKNOWN,2023,1,6
1653,January,2023-01-16,Monday,2023-01-17,Rugupalem,Nil,Andhra Pradesh,"17.508827819959855, 82.79988876161636",AUTO RICKSHAW,CAR,1,0,,MALE,NH,Head On Collision,17.508827819959855,82.79988876161636,,,,,VEHICLE,2023,1,0
1661,January,2023-01-19,Thursday,2023-01-20,Samruddhi,Nil,Maharashtra,"21.016924554312656, 78.99492470433324",PEDESTRIAN,TRUCK,2,0,"19,14",BOTH,SH,Hit and Run,21.016924554312656,78.99492470433324,2.0,16.5,14.0,19.0,VEHICLE,2023,1,3
1663,January,2023-01-18,Wednesday,2023-01-20,Proddatur,Nil,Andhra Pradesh,"14.755958066340082, 78.54803298728615",CAR,NIL,4,0,,,SH,Run Off Road,14.755958066340082,78.54803298728615,,,,,UNKNOWN,2023,1,2
1664,January,2023-01-19,Thursday,2023-01-21,Garisepudi,Nil,Andhra Pradesh,"16.39982044068534, 81.42123304241854",CAR,CAR,2,0,,BOTH,NH,Others,16.39982044068534,81.42123304241854,,,,,VEHICLE,2023,1,3
1665,January,2023-01-20,Friday,2023-01-21,Vizag,Vizag,Andhra Pradesh,"17.72486042907055, 83.20698956528871",PEDESTRIAN,CAR,1,0,48,FEMALE,SH,Hit and Run,17.72486042907055,83.20698956528871,1.0,48.0,48.0,48.0,VEHICLE,2023,1,4
1666,January,2023-01-21,Saturday,2023-01-22,Bhaisma chowk,Nil,Chhattisgarh,"22.267886675366654, 82.77602290592881",TWO WHEELER,TRUCK,1,1,,FEMALE,SH,Hit From Back,22.26788667536665,82.77602290592881,,,,,VEHICLE,2023,1,5
1669,January,2023-01-20,Friday,2023-01-22,Yellandu,Nil,Telangana,"17.594423354664716, 80.31430272073665",CAR,TRUCK,4,0,"21,32,31,28",MALE,NH,Head On Collision,17.594423354664716,80.31430272073665,4.0,28.0,21.0,32.0,VEHICLE,2023,1,4
1670,January,2023-01-21,Saturday,2023-01-23,Sujangarh,Nil,Rajasthan,"27.707993603304796, 74.47863863234508",CAR,TRUCK,5,0,,,SH,Head On Collision,27.7079936033048,74.47863863234508,,,,,VEHICLE,2023,1,5
1673,January,2023-01-22,Sunday,2023-01-23,Kinnaur,Nil,Himachal Pradesh,"31.504479002562665, 78.17415666263153",CAR,NIL,2,2,,MALE,NH,Run Off Road,31.504479002562665,78.17415666263153,,,,,UNKNOWN,2023,1,6
1674,January,2023-01-21,Saturday,2023-01-23,Nad Junction,Vizag,Andhra Pradesh,"17.743172935586, 83.23581086428261",TWO WHEELER,TRUCK,1,0,24,MALE,NH,Hit From Back,17.743172935586,83.23581086428261,1.0,24.0,24.0,24.0,VEHICLE,2023,1,5
1675,January,2023-01-22,Sunday,2023-01-23,Nad Junction,Vizag,Andhra Pradesh,"17.743178844329105, 83.2358014463651",TWO WHEELER,TREE,1,0,50,MALE,SH,Fixed Object Collision,17.743178844329105,83.2358014463651,1.0,50.0,50.0,50.0,OBJECT,2023,1,6
1676,January,2023-01-23,Monday,2023-01-24,Dhalli,Nil,Himachal Pradesh,"31.10771282045722, 77.21051176523412",CAR,NIL,3,1,,,NH,Run Off Road,31.10771282045722,77.21051176523412,,,,,UNKNOWN,2023,1,0
1682,January,2023-01-25,Wednesday,2023-01-25,Kadodara,Surat,Gujarat,"21.173108380454853, 72.95847956993534",TWO WHEELER,CAR,1,1,24,MALE,NH,Others,21.173108380454853,72.95847956993534,1.0,24.0,24.0,24.0,VEHICLE,2023,1,2
1683,January,2023-01-25,Wednesday,2023-01-26,Chandragiri Mandal,Nil,Andhra Pradesh,"13.579198608891383, 79.29604008077945",CAR,NIL,4,5,,,NH,Run Off Road,13.579198608891383,79.29604008077945,,,,,UNKNOWN,2023,1,2
1687,January,2023-01-27,Friday,2023-01-28,Kalimpong,Nil,West Bengal,"27.062610824255845, 88.46261371304684",CAR,NIL,2,7,,,SH,Run Off Road,27.062610824255845,88.46261371304684,,,,,UNKNOWN,2023,1,4
1690,January,2023-01-27,Friday,2023-01-28,Bhosari,Pune,Maharashtra,"18.6330605836499, 73.85000951084575",TWO WHEELER,BUS,1,0,,MALE,NH,Hit From Back,18.6330605836499,73.85000951084575,,,,,VEHICLE,2023,1,4
1692,January,2023-01-28,Saturday,2023-01-29,Churu,Nil,Rajasthan,"28.292671092634745, 74.97303805273314",CAR,TRUCK,4,4,,,NH,Head On Collision,28.292671092634745,74.97303805273314,,,,,VEHICLE,2023,1,5
1693,January,2023-01-28,Saturday,2023-01-29,Topkhana,Nil,Assam,"24.84970880051635, 92.77336482450421",TWO WHEELER,TRUCK,1,0,34,FEMALE,SH,Head On Collision,24.84970880051635,92.7733648245042,1.0,34.0,34.0,34.0,VEHICLE,2023,1,5
1695,January,2023-01-29,Sunday,2023-01-30,Sendurai,Nil,Tamil Nadu,"11.255841919075452, 79.17990040031397",BUS,NIL,1,46,20,MALE,SH,Run Off Road,11.255841919075452,79.17990040031397,1.0,20.0,20.0,20.0,UNKNOWN,2023,1,6
1696,January,2023-01-29,Sunday,2023-01-30,Maksi,Nil,Madhya Pradesh,"23.271512243206217, 76.14829219561999",CAR,TRUCK,1,3,,MALE,NH,Hit From Back,23.271512243206217,76.14829219561999,,,,,VEHICLE,2023,1,6
1697,January,2023-01-30,Monday,2023-01-31,Dahanu,Nil,Maharashtra,"19.986600329913983, 72.7587092352432",CAR,LORRY,4,0,,,SH,Head On Collision,19.986600329913983,72.7587092352432,,,,,VEHICLE,2023,1,0
1698,January,2023-01-30,Monday,2023-01-31,Kathua,Nil,Jammu,"32.390068775586386, 75.53047191128731",PEDESTRIAN,CAR,1,10,17,FEMALE,NH,Hit and Run,32.390068775586386,75.53047191128731,1.0,17.0,17.0,17.0,VEHICLE,2023,1,0
1699,February,2023-01-31,Tuesday,2023-02-01,Charoti,Nil,Maharashtra,"19.916979601112732, 72.93744106529331",CAR,BUS,4,4,"31,42,57,60",MALE,NH,Head On Collision,19.91697960111273,72.93744106529331,4.0,47.5,31.0,60.0,VEHICLE,2023,1,1
1701,February,2023-01-31,Tuesday,2023-02-01,TSPA,Hyderabad,Telangana,"17.35115808879119, 78.36359413005538",CAR,TRUCK,2,4,"35,40",MALE,NH,Hit From Back,17.35115808879119,78.36359413005538,2.0,37.5,35.0,40.0,VEHICLE,2023,1,1
1705,February,2023-02-02,Thursday,2023-02-03,IFFCO Chowk,Nil,Haryana,"28.47867818997804, 77.0695835884793",PEDESTRIAN,BUS,1,0,34,MALE,NH,Hit and Run,28.47867818997804,77.0695835884793,1.0,34.0,34.0,34.0,VEHICLE,2023,2,3
1707,February,2023-02-03,Friday,2023-02-04,Unnao,Nil,Uttar Pradesh,"26.529857996644417, 80.45974618979199",CAR,CAR,5,3,"40,35,9,25,60",BOTH,NH,Head On Collision,26.529857996644417,80.45974618979199,5.0,33.8,9.0,60.0,VEHICLE,2023,2,4
1709,February,2023-02-02,Thursday,2023-02-04,Dasna,Nil,Uttar Pradesh,"28.683233791295855, 77.51062172515469",TWO WHEELER,TRUCK,1,0,17,MALE,NH,Head On Collision,28.68323379129585,77.51062172515469,1.0,17.0,17.0,17.0,VEHICLE,2023,2,3
1711,February,2023-02-03,Friday,2023-02-05,Dhamari,Nil,Maharashtra,"18.794395498624322, 74.09452723812849",TWO WHEELER,TRUCK,3,1,"20,20,45",BOTH,SH,Head On Collision,18.79439549862432,74.09452723812849,3.0,28.333333333333332,20.0,45.0,VEHICLE,2023,2,4
1713,February,2023-02-04,Saturday,2023-02-05,Basanti Highway,Nil,West Bengal,"22.304222116344402, 88.69628919976856",AUTO RICKSHAW,NIL,1,0,34,MALE,SH,Vehicle Overturn,22.3042221163444,88.69628919976856,1.0,34.0,34.0,34.0,UNKNOWN,2023,2,5
1716,February,2023-02-05,Sunday,2023-02-06,Pendra,Nil,Chhattisgarh,"22.77305901605205, 81.9614600576058",PEDESTRIAN,TRACTOR,2,0,,MALE,SH,Hit and Run,22.77305901605205,81.9614600576058,,,,,VEHICLE,2023,2,6
1717,February,2023-02-05,Sunday,2023-02-06,Pachipenta,Nil,Andhra Pradesh,"18.48009831625044, 83.11301849317604",TRACTOR,NIL,1,1,45,MALE,SH,Run Off Road,18.48009831625044,83.11301849317604,1.0,45.0,45.0,45.0,UNKNOWN,2023,2,6
1718,February,2023-02-04,Saturday,2023-02-06,Parwaliya,Nil,Madhya Pradesh,"23.023422479484815, 74.5204417894011",TWO WHEELER,CAR,1,0,70,MALE,SH,Head On Collision,23.02342247948481,74.5204417894011,1.0,70.0,70.0,70.0,VEHICLE,2023,2,5
1719,February,2023-02-05,Sunday,2023-02-06,Kolar,Nil,Karnataka,"13.134075950653155, 78.12809290678786",TWO WHEELER,NIL,1,2,40,BOTH,SH,Run Off Road,13.134075950653155,78.12809290678786,1.0,40.0,40.0,40.0,UNKNOWN,2023,2,6
1720,February,2023-02-05,Sunday,2023-02-06,Kilimanoor,Nil,Kerala,"8.76982405603802, 76.87950199365297",CAR,BUS,2,4,,,SH,Head On Collision,8.76982405603802,76.87950199365297,,,,,VEHICLE,2023,2,6
1722,February,2023-02-06,Monday,2023-02-07,Mumbai-Agra Road Adgaon,Nashik,Maharashtra,"20.03575836111977, 73.86327345872316",PEDESTRIAN,CAR,1,0,42,FEMALE,NH,Hit and Run,20.03575836111977,73.86327345872316,1.0,42.0,42.0,42.0,VEHICLE,2023,2,0
1723,February,2023-02-05,Sunday,2023-02-07,Lakhalgaon,Nil,Maharashtra,"19.999959987251188, 73.92352063082193",TWO WHEELER,TWO WHEELER,1,0,,MALE,SH,Head On Collision,19.999959987251188,73.92352063082193,,,,,VEHICLE,2023,2,6
1725,February,2023-02-06,Monday,2023-02-07,Pusapatirega,Nil,Andhra Pradesh,"18.08966829915761, 83.55288411268916",TWO WHEELER,TWO WHEELER,2,0,"16,29",MALE,NH,Others,18.08966829915761,83.55288411268916,2.0,22.5,16.0,29.0,VEHICLE,2023,2,0
1727,February,2023-02-06,Monday,2023-02-08,Manjari,Nil,Maharashtra,"18.49631458013335, 73.97112235587963",PEDESTRIAN,TRUCK,2,0,"37,35",MALE,NH,Hit and Run,18.49631458013335,73.97112235587963,2.0,36.0,35.0,37.0,VEHICLE,2023,2,0
1728,February,2023-02-07,Tuesday,2023-02-08,Shikohabad,Nil,Uttar Pradesh,"27.1114680971091, 78.57630170633787",CAR,TRUCK,1,1,46,FEMALE,NH,Others,27.1114680971091,78.57630170633787,1.0,46.0,46.0,46.0,VEHICLE,2023,2,1
1730,February,2023-02-08,Wednesday,2023-02-09,Kota,Kota,Rajasthan,"25.18952492193559, 75.85934569952862",TWO WHEELER,CAR,1,3,28,MALE,SH,Head On Collision,25.18952492193559,75.85934569952862,1.0,28.0,28.0,28.0,VEHICLE,2023,2,2
1731,February,2023-02-08,Wednesday,2023-02-09,Kanker,Nil,Chhattisgarh,"20.26728195273725, 81.49265332710237",AUTO RICKSHAW,TRUCK,7,2,,,SH,Head On Collision,20.26728195273725,81.49265332710237,,,,,VEHICLE,2023,2,2
1733,February,2023-02-09,Thursday,2023-02-10,MVP Colony,Vizag,Andhra Pradesh,"17.741056612988817, 83.3354541946666",TWO WHEELER,CAR,3,0,,MALE,SH,Hit From Back,17.741056612988817,83.3354541946666,,,,,VEHICLE,2023,2,3
1736,February,2023-02-09,Thursday,2023-02-11,Kulharia Toll Plaza,Nil,Bihar,"25.58017738443135, 84.76855965655673",AUTO RICKSHAW,LORRY,3,3,38,BOTH,NH,Head On Collision,25.58017738443135,84.76855965655673,1.0,38.0,38.0,38.0,VEHICLE,2023,2,3
1738,February,2023-02-10,Friday,2023-02-12,Murthal,Nil,Haryana,"29.02950768655139, 77.0726051144711",CAR,DIVIDER,1,4,25,FEMALE,NH,Fixed Object Collision,29.02950768655139,77.0726051144711,1.0,25.0,25.0,25.0,OBJECT,2023,2,4
1739,February,2023-02-11,Saturday,2023-02-12,Chikkanayakanahalli,Nil,Karnataka,"13.41268426570095, 76.62146320014271",CAR,TRUCK,2,1,"30,28",BOTH,NH,With Parked Vehicle,13.41268426570095,76.62146320014271,2.0,29.0,28.0,30.0,VEHICLE,2023,2,5
1742,February,2023-02-12,Sunday,2023-02-13,Gandhi Nagar Avadi,Chennai,Tamil Nadu,"13.118641458884113, 80.08883142280301",CAR,BUS,4,1,"35,32,52",BOTH,NH,Hit From Back,13.118641458884111,80.08883142280301,3.0,39.666666666666664,32.0,52.0,VEHICLE,2023,2,6
1745,February,2023-02-13,Monday,2023-02-13,Katihar,Nil,Bihar,"25.54850499137775, 87.56351374547623",CAR,TRUCK,3,0,,MALE,NH,Head On Collision,25.54850499137775,87.56351374547623,,,,,VEHICLE,2023,2,0
1749,February,2023-02-14,Tuesday,2023-02-15,Frasergunj,Nil,West Bengal,"21.58399000369459, 88.26299668208235",TWO WHEELER,NIL,1,2,22,MALE,NH,Run Off Road,21.58399000369459,88.26299668208235,1.0,22.0,22.0,22.0,UNKNOWN,2023,2,1
