S. No.,Month,Crash Date,Crash Day,Article Date,Location,Million Plus City,State,LatLong,Vehicle 1,Vehicle/Object 2,Killed,Injured,Age,Gender,Road Type,Crash Type,Latitude,Longitude,Age_Count,Average_Age,Minimum_Age,Maximum_Age,Object_2_Type,Crash_Year,Crash_Month_Number,Crash_Day_Number
2161,May,2023-05-22,Monday,2023-05-23,Ananthasagar,Nil,Telangana,"18.185689871947872, 78.99827938163496",TWO WHEELER,UNIDENTIFIED,2,0,"26,23",MALE,SH,Hit and Run,18.185689871947872,78.99827938163496,2.0,24.5,23.0,26.0,UNKNOWN,2023,5,0
2162,May,2023-05-23,Tuesday,2023-05-24,Dwarka Flyover,Nashik,Maharashtra,"19.995374057489297, 73.79922775340391",PEDESTRIAN,TRUCK,2,2,"29,7",FEMALE,NH,Hit From Back,19.995374057489297,73.79922775340391,2.0,18.0,7.0,29.0,VEHICLE,2023,5,1
2165,May,2023-05-23,Tuesday,2023-05-24,Ahirwan Petrol Pump,Kanpur,Uttar Pradesh,"26.39260624312494, 80.40648150720796",AUTO RICKSHAW,TRUCK,2,5,"16,25",BOTH,NH,Head On Collision,26.39260624312494,80.40648150720796,2.0,20.5,16.0,25.0,VEHICLE,2023,5,1
2166,May,2023-05-24,Wednesday,2023-05-25,Gavhan Phata,Mumbai,Maharashtra,"18.959125416155533, 73.03754264490712",TRUCK,TRUCK,1,0,52,MALE,NH,Hit From Back,18.959125416155533,73.03754264490712,1.0,52.0,52.0,52.0,VEHICLE,2023,5,2
2168,May,2023-05-24,Wednesday,2023-05-25,Thiruvaiyaru,Nil,Tamil Nadu,"10.87957559210605, 79.10592880631965",TWO WHEELER,TRUCK,2,0,"23,18",MALE,SH,Head On Collision,10.87957559210605,79.10592880631965,2.0,20.5,18.0,23.0,VEHICLE,2023,5,2
2169,May,2023-05-25,Thursday,2023-05-25,Malegaon Phata,Nil,Maharashtra,"20.96527777650913, 76.04176327335774",TRUCK,TRUCK,4,1,,,SH,Hit From Back,20.96527777650913,76.04176327335774,,,,,VEHICLE,2023,5,3
2171,May,2023-05-24,Wednesday,2023-05-25,Umaria,Nil,Madhya Pradesh,"23.54055054162176, 80.85060766024782",BUS,NIL,3,4,,BOTH,NH,Run Off Road,23.54055054162176,80.85060766024782,,,,,UNKNOWN,2023,5,2
2173,May,2023-05-23,Tuesday,2023-05-25,Padi Flyover,Chennai,Tamil Nadu,"13.102038565817605, 80.19456946948829",TWO WHEELER,VAN,1,1,33,MALE,NH,Hit From Side,13.102038565817605,80.19456946948829,1.0,33.0,33.0,33.0,VEHICLE,2023,5,1
2175,May,2023-05-24,Wednesday,2023-05-26,Trimbak Road,Nashik,Maharashtra,"19.98531286231017, 73.72266561422636",TWO WHEELER,DIVIDER,2,0,"23,22",MALE,NH,Fixed Object Collision,19.98531286231017,73.72266561422636,2.0,22.5,22.0,23.0,OBJECT,2023,5,2
2176,May,2023-05-25,Thursday,2023-05-26,PU Patiala,Nil,Punjab,"30.3552132898427, 76.45288901520625",CAR,DIVIDER,1,3,20,FEMALE,NH,Fixed Object Collision,30.3552132898427,76.45288901520625,1.0,20.0,20.0,20.0,OBJECT,2023,5,3
2185,May,2023-05-27,Saturday,2023-05-28,Bazarwada,Nil,Maharashtra,"20.9559731304577, 78.2432261280754",TWO WHEELER,TRUCK,2,2,"27,1",BOTH,NH,With Parked Vehicle,20.9559731304577,78.2432261280754,2.0,14.0,1.0,27.0,VEHICLE,2023,5,5
2186,May,2023-05-27,Saturday,2023-05-28,Ghunki Phata,Nil,Maharashtra,"16.888652627320347, 74.29689048934819",CAR,ROAD ROLLER,2,4,"30,28",MALE,NH,Head On Collision,16.888652627320347,74.29689048934819,2.0,29.0,28.0,30.0,VEHICLE,2023,5,5
2188,May,2023-05-27,Saturday,2023-05-29,Koraon,Nil,Uttar Pradesh,"24.99746969684642, 82.07063786109495",TRACTOR,NIL,4,3,"30,28,20,30",BOTH,NH,Run Off Road,24.99746969684642,82.07063786109495,4.0,27.0,20.0,30.0,UNKNOWN,2023,5,5
